LocaleIdentifier,TH
MsgDiscountLoaylTreeReset,เพื่อขอใช้ส่วนลดนี้ คุณต้องยกเลิกรางวัล LoyalTree ก่อน
MsgDiscountSavingValue,กำลังบันทึก
MsgDiscountType,ประเภทส่วนลด
BtnDiscountScan,สแกน
BtnDiscountPart,% ส่วนลด
BtnDiscountNoDiscount,ไม่มีส่วนลด
BtnApplyDiscounts,ขอใช้ส่วนลด
MsgChoosePrevailingTaxes,เลือกภาษีทั่วไป
MsgTitleSelectTaxExeptionReason,เลือกเหตุผลการยกเว้นภาษี
MsgTaxExemptionReasonPaidWithEBT,ชำระเงินด้วย EBT
MsgTaxExemptionReasonColdItem,รายการที่ยังไม่ได้ปรุงที่จะจัดส่ง
MsgTaxExemptionReasonColdItemDelivery,การจัดส่งรายการที่ยังไม่ได้ปรุง
MsgTaxExemptionReasonTaxFreeCustomer,ลูกค้าที่ไม่ต้องจ่ายภาษี
MsgTaxExemptionReasonZeroTaxRate,อัตราภาษีเป็นศูนย์
MsgServiceFeeTitle,ค่าธรรมเนียมการบริการ
MsgServiceFeeAmountOff,จำนวนเงินที่เพิ่ม
MsgServiceFeeAmount,จำนวนเงิน
MsgServiceFeeEnterAmount,ป้อนจำนวนเงิน
MsgServiceFeeEnterReason,ป้อนเหตุผล
MsgServiceFeePercent,ร้อยละ
MsgServiceFeeTaxed,เรียกเก็บภาษี
MsgServiceFeePostTax,หลังรวมภาษี
MsgServiceFeeEnterReasonAndAmount,โปรดป้อนทั้งเหตุผล และจำนวนเงิน
MsgServiceFeePleaseEnterPositiveServiceFeeValue,โปรดป้อนค่าที่เป็นบวก
BtnServiceFeesTitle,ค่าธรรมเนียมการบริการ
BtnServiceFeesNoServiceFee,ไม่มีค่าธรรมเนียมการบริการ
MsgServiceFeeWrongName,มีค่าธรรมเนียมการบริการชื่อเดียวกันอยู่แล้ว โปรดตั้งชื่อค่าธรรมเนียมนี้ใหม่ หรือใช้ค่าธรรมเนียมที่ต่างกัน
MsgServiceFeeAlreadyHasServiceFees,คำสั่งซื้อนี้มีค่าธรรมเนียมการบริการแล้ว \n โปรดลากค่าธรรมเนียมไปยังคำสั่งซื้อ ที่ควรเรียกเก็บค่าธรรมเนียมนี้
MsgServiceFeeAdded,ค่าธรรมเนียมการบริการของ %@ ได้ถูกเพิ่มไว้แล้ว \nสำหรับการชำระเงิน %@ 
MsgBalanceDue,ยอดที่ต้องชำระ
MsgServiceFee,ค่าธรรมเนียมการบริการ
MsgServiceFeeCardType,ค่าธรรมเนียมการบริการ - ประเภทบัตร
MsgServiceFeeChooseCardType,โปรดเลือกประเภทบัตรตามด้านล่าง
MsgNoFee,ไม่มีค่าธรรมเนียม
MsgServiceFeeForCreditPayments,มีค่าธรรมเนียมการบริการสำหรับการชำระเงินผ่านบัตรเครดิต
MsgOldTotal,ยอดรวมเดิม
MsgNewTotal,ยอดรวมใหม่
MsgOrderFieldName,ชื่อ
MsgOrderFieldQty,จำนวน
MsgOrderFieldEach,ชิ้น
MsgOrderFieldTotal,ยอดรวม
MsgOrderTotalsDiscount,ยอดรวมส่วนลด:
MsgOrderTotalsSubtotal,ยอดรวมย่อย:
MsgOrderTotalsSubtotal2,ยอดรวมย่อย:
MsgOrderTotalsSurcharge,เก็บเงินเพิ่ม:
MsgOrderTotalsTax,เก็บภาษี:
MsgOrderTotalsTotal,ยอดรวม:
MsgOrderTotalsTotal2,ยอดรวม:
MsgOrderTotalsDue,ยอดที่ต้องชำระ:
MsgOrderInvoiceTitle,ใบแจ้งหนี้
MsgOrderInvoiceErrorNoCustomer,ไม่มีลูกค้า
BtnOrderCancelInvoice,ยกเลิกบิล
BtnOrderOpenInvoice,เปิดบิล
BtnOrderSendInvoice,ส่งบิล
BtnOrderHoldInvoice,ระงับบิล
BtnOrderCloseInvoice,ปิดบิล
BtnOrderResetMenu,ตั้งค่าเมนูใหม่
BtnOrderBackMenu,ย้อนกลับ
BtnOrderPay,ชำระเงิน
BtnOrderSetGuestCount,จำนวนลูกค้า
BtnOrderDeliveryClockOut,คนขับรถ\nออกงาน
BtnOrderDeliveryClockIn,คนขับรถ\nเข้างาน
BtnOrderAutoGratuity,อัตโนมัติ\nค่าตอบแทน
BtnOrderFastCredit,เครดิตด่วน
BtnOrderFastCash,เงินสดด่วน
BtnOrderAddExtraItem,เพิ่ม\nรายการพิเศษ
BtnOrderDonate,บริจาค
BtnOrderDiscountOrder,ส่วนลด\nคำสั่งซื้อ
BtnOrderDiningOption,การรับประทานอาหาร\nตัวเลือก
BtnOrderOrderOption,คำสั่งซื้อ\nตัวเลือก
BtnOrderPrintGuestCheck,พิมพ์\nใบเสร็จของลูกค้า
BtnOrderEnterBarcode,ป้อนr\nบาร์โค้ด
BtnOrderOpenCashDrawer,เปิด\nลิ้นชักเก็บเงิน
BtnOrderMoveTable,ย้าย\nโต๊ะ
BtnOrderTransferOwner,โอน\nเจ้าของ
BtnOrderRemoveTax,ลบ\nภาษีออก
BtnOrderAddTax,เพิ่ม\nภาษี
BtnOrderSetTax,ตั้งค่า\nภาษี
